,Region,Name,Year,Series,Value,Category,ISO3
1283,104,Myanmar,1975,Emissions (thousand metric tons of carbon dioxide),3927.468,CO2,MMR
1291,104,Myanmar,1975,Emissions per capita (metric tons of carbon dioxide),0.132,CO2,MMR
1311,524,Nepal,1975,Emissions (thousand metric tons of carbon dioxide),318.654,CO2,NPL
1319,524,Nepal,1975,Emissions per capita (metric tons of carbon dioxide),0.024,CO2,NPL
1327,528,Netherlands,1975,Emissions (thousand metric tons of carbon dioxide),131962.01,CO2,NLD
1335,528,Netherlands,1975,Emissions per capita (metric tons of carbon dioxide),9.661,CO2,NLD
1343,554,New Zealand,1975,Emissions (thousand metric tons of carbon dioxide),16429.691,CO2,NZL
1351,554,New Zealand,1975,Emissions per capita (metric tons of carbon dioxide),5.322,CO2,NZL
1359,558,Nicaragua,1975,Emissions (thousand metric tons of carbon dioxide),1849.605,CO2,NIC
1367,558,Nicaragua,1975,Emissions per capita (metric tons of carbon dioxide),0.661,CO2,NIC
1385,566,Nigeria,1975,Emissions (thousand metric tons of carbon dioxide),10816.425,CO2,NGA
1393,566,Nigeria,1975,Emissions per capita (metric tons of carbon dioxide),0.171,CO2,NGA
1401,578,Norway,1975,Emissions (thousand metric tons of carbon dioxide),23603.322,CO2,NOR
1409,578,Norway,1975,Emissions per capita (metric tons of carbon dioxide),5.891,CO2,NOR
1417,512,Oman,1975,Emissions (thousand metric tons of carbon dioxide),722.24,CO2,OMN
1425,512,Oman,1975,Emissions per capita (metric tons of carbon dioxide),0.819,CO2,OMN
1433,586,Pakistan,1975,Emissions (thousand metric tons of carbon dioxide),19981.642,CO2,PAK
1441,586,Pakistan,1975,Emissions per capita (metric tons of carbon dioxide),0.299,CO2,PAK
1449,591,Panama,1975,Emissions (thousand metric tons of carbon dioxide),3096.657,CO2,PAN
1457,591,Panama,1975,Emissions per capita (metric tons of carbon dioxide),1.775,CO2,PAN
1465,600,Paraguay,1975,Emissions (thousand metric tons of carbon dioxide),703.543,CO2,PRY
1473,600,Paraguay,1975,Emissions per capita (metric tons of carbon dioxide),0.252,CO2,PRY
1481,604,Peru,1975,Emissions (thousand metric tons of carbon dioxide),18240.381,CO2,PER
1489,604,Peru,1975,Emissions per capita (metric tons of carbon dioxide),1.198,CO2,PER
1497,608,Philippines,1975,Emissions (thousand metric tons of carbon dioxide),29244.261,CO2,PHL
1505,608,Philippines,1975,Emissions per capita (metric tons of carbon dioxide),0.708,CO2,PHL
1513,616,Poland,1975,Emissions (thousand metric tons of carbon dioxide),338900.005,CO2,POL
1521,616,Poland,1975,Emissions per capita (metric tons of carbon dioxide),9.961,CO2,POL
1529,620,Portugal,1975,Emissions (thousand metric tons of carbon dioxide),18031.11,CO2,PRT
1537,620,Portugal,1975,Emissions per capita (metric tons of carbon dioxide),1.964,CO2,PRT
1545,634,Qatar,1975,Emissions (thousand metric tons of carbon dioxide),4927.527,CO2,QAT
1553,634,Qatar,1975,Emissions per capita (metric tons of carbon dioxide),30.046,CO2,QAT
1589,642,Romania,1975,Emissions (thousand metric tons of carbon dioxide),140600.336,CO2,ROU
1597,642,Romania,1975,Emissions per capita (metric tons of carbon dioxide),6.603,CO2,ROU
1617,682,Saudi Arabia,1975,Emissions (thousand metric tons of carbon dioxide),22518.895,CO2,SAU
1625,682,Saudi Arabia,1975,Emissions per capita (metric tons of carbon dioxide),3.031,CO2,SAU
1633,686,Senegal,1975,Emissions (thousand metric tons of carbon dioxide),1609.257,CO2,SEN
1641,686,Senegal,1975,Emissions per capita (metric tons of carbon dioxide),0.326,CO2,SEN
1661,702,Singapore,1975,Emissions (thousand metric tons of carbon dioxide),8439.735,CO2,SGP
1669,702,Singapore,1975,Emissions per capita (metric tons of carbon dioxide),3.729,CO2,SGP
1677,703,Slovakia,1975,Emissions (thousand metric tons of carbon dioxide),43153.699,CO2,SVK
1685,703,Slovakia,1975,Emissions per capita (metric tons of carbon dioxide),9.108,CO2,SVK
1705,710,South Africa,1975,Emissions (thousand metric tons of carbon dioxide),202998.951,CO2,ZAF
1713,710,South Africa,1975,Emissions per capita (metric tons of carbon dioxide),7.745,CO2,ZAF
1727,724,Spain,1975,Emissions (thousand metric tons of carbon dioxide),155843.041,CO2,ESP
1735,724,Spain,1975,Emissions per capita (metric tons of carbon dioxide),4.333,CO2,ESP
1743,144,Sri Lanka,1975,Emissions (thousand metric tons of carbon dioxide),2637.329,CO2,LKA
1751,144,Sri Lanka,1975,Emissions per capita (metric tons of carbon dioxide),0.192,CO2,LKA
1759,729,Sudan,1975,Emissions (thousand metric tons of carbon dioxide),3212.724,CO2,SDN
1767,729,Sudan,1975,Emissions per capita (metric tons of carbon dioxide),0.198,CO2,SDN
1785,752,Sweden,1975,Emissions (thousand metric tons of carbon dioxide),79041.446,CO2,SWE
1793,752,Sweden,1975,Emissions per capita (metric tons of carbon dioxide),9.649,CO2,SWE
1801,756,Switzerland,1975,Emissions (thousand metric tons of carbon dioxide),36753.441,CO2,CHE
1809,756,Switzerland,1975,Emissions per capita (metric tons of carbon dioxide),5.739,CO2,CHE
1845,764,Thailand,1975,Emissions (thousand metric tons of carbon dioxide),21151.546,CO2,THA
1853,764,Thailand,1975,Emissions per capita (metric tons of carbon dioxide),0.5,CO2,THA
1873,768,Togo,1975,Emissions (thousand metric tons of carbon dioxide),317.366,CO2,TGO
1881,768,Togo,1975,Emissions per capita (metric tons of carbon dioxide),0.132,CO2,TGO
1889,780,Trinidad and Tobago,1975,Emissions (thousand metric tons of carbon dioxide),4575.18,CO2,TTO
1897,780,Trinidad and Tobago,1975,Emissions per capita (metric tons of carbon dioxide),4.525,CO2,TTO
1905,788,Tunisia,1975,Emissions (thousand metric tons of carbon dioxide),4846.357,CO2,TUN
1913,788,Tunisia,1975,Emissions per capita (metric tons of carbon dioxide),0.857,CO2,TUN
1921,792,Turkey,1975,Emissions (thousand metric tons of carbon dioxide),59631.229,CO2,TUR
1929,792,Turkey,1975,Emissions per capita (metric tons of carbon dioxide),1.488,CO2,TUR
1961,784,United Arab Emirates,1975,Emissions (thousand metric tons of carbon dioxide),4919.173,CO2,ARE
1969,784,United Arab Emirates,1975,Emissions per capita (metric tons of carbon dioxide),8.879,CO2,ARE
1977,826,United Kingdom,1975,Emissions (thousand metric tons of carbon dioxide),576041.678,CO2,GBR
1985,826,United Kingdom,1975,Emissions per capita (metric tons of carbon dioxide),10.245,CO2,GBR
2009,840,United States of America,1975,Emissions (thousand metric tons of carbon dioxide),4355839.181,CO2,USA
2017,840,United States of America,1975,Emissions per capita (metric tons of carbon dioxide),20.168,CO2,USA
2025,858,Uruguay,1975,Emissions (thousand metric tons of carbon dioxide),5333.968,CO2,URY
2033,858,Uruguay,1975,Emissions per capita (metric tons of carbon dioxide),1.885,CO2,URY
2069,704,Viet Nam,1975,Emissions (thousand metric tons of carbon dioxide),16953.904,CO2,VNM
2077,704,Viet Nam,1975,Emissions per capita (metric tons of carbon dioxide),0.348,CO2,VNM
2085,887,Yemen,1975,Emissions (thousand metric tons of carbon dioxide),1752.491,CO2,YEM
2093,887,Yemen,1975,Emissions per capita (metric tons of carbon dioxide),0.257,CO2,YEM
2101,894,Zambia,1975,Emissions (thousand metric tons of carbon dioxide),4326.456,CO2,ZMB
2109,894,Zambia,1975,Emissions per capita (metric tons of carbon dioxide),0.871,CO2,ZMB
2117,716,Zimbabwe,1975,Emissions (thousand metric tons of carbon dioxide),7169.25,CO2,ZWE
2125,716,Zimbabwe,1975,Emissions per capita (metric tons of carbon dioxide),1.172,CO2,ZWE
2,8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),6929.926,CO2,ALB
10,8,Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.337,CO2,ALB
18,12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),42073.253,CO2,DZA
26,12,Algeria,1985,Emissions per capita (metric tons of carbon dioxide),1.864,CO2,DZA
34,24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),2817.595,CO2,AGO
42,24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.266,CO2,AGO
50,32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),87779.28,CO2,ARG
58,32,Argentina,1985,Emissions per capita (metric tons of carbon dioxide),2.889,CO2,ARG
78,36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),220128.059,CO2,AUS
86,36,Australia,1985,Emissions per capita (metric tons of carbon dioxide),13.943,CO2,AUS
94,40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),52649.019,CO2,AUT
102,40,Austria,1985,Emissions per capita (metric tons of carbon dioxide),6.96,CO2,AUT
122,48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),9099.749,CO2,BHR
130,48,Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),21.718,CO2,BHR
138,50,Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),7705.068,CO2,BGD
146,50,Bangladesh,1985,Emissions per capita (metric tons of carbon dioxide),0.083,CO2,BGD
166,56,Belgium,1985,Emissions (thousand metric tons of carbon dioxide),100991.897,CO2,BEL
174,56,Belgium,1985,Emissions per capita (metric tons of carbon dioxide),10.246,CO2,BEL
182,204,Benin,1985,Emissions (thousand metric tons of carbon dioxide),472.814,CO2,BEN
190,204,Benin,1985,Emissions per capita (metric tons of carbon dioxide),0.11,CO2,BEN
225,72,Botswana,1985,Emissions (thousand metric tons of carbon dioxide),1500.972,CO2,BWA
232,72,Botswana,1985,Emissions per capita (metric tons of carbon dioxide),1.262,CO2,BWA
240,76,Brazil,1985,Emissions (thousand metric tons of carbon dioxide),156328.184,CO2,BRA
248,76,Brazil,1985,Emissions per capita (metric tons of carbon dioxide),1.152,CO2,BRA
256,96,Brunei Darussalam,1985,Emissions (thousand metric tons of carbon dioxide),2945.928,CO2,BRN
264,96,Brunei Darussalam,1985,Emissions per capita (metric tons of carbon dioxide),13.093,CO2,BRN
272,100,Bulgaria,1985,Emissions (thousand metric tons of carbon dioxide),82206.429,CO2,BGR
280,100,Bulgaria,1985,Emissions per capita (metric tons of carbon dioxide),9.174,CO2,BGR
300,120,Cameroon,1985,Emissions (thousand metric tons of carbon dioxide),2378.233,CO2,CMR
308,120,Cameroon,1985,Emissions per capita (metric tons of carbon dioxide),0.237,CO2,CMR
316,124,Canada,1985,Emissions (thousand metric tons of carbon dioxide),393880.167,CO2,CAN
324,124,Canada,1985,Emissions per capita (metric tons of carbon dioxide),15.242,CO2,CAN
332,152,Chile,1985,Emissions (thousand metric tons of carbon dioxide),19631.224,CO2,CHL
340,152,Chile,1985,Emissions per capita (metric tons of carbon dioxide),1.622,CO2,CHL
348,156,China,1985,Emissions (thousand metric tons of carbon dioxide),1626027.131,CO2,CHN
356,156,China,1985,Emissions per capita (metric tons of carbon dioxide),1.547,CO2,CHN
380,170,Colombia,1985,Emissions (thousand metric tons of carbon dioxide),39473.328,CO2,COL
388,170,Colombia,1985,Emissions per capita (metric tons of carbon dioxide),1.273,CO2,COL
412,188,Costa Rica,1985,Emissions (thousand metric tons of carbon dioxide),1948.536,CO2,CRI
420,188,Costa Rica,1985,Emissions per capita (metric tons of carbon dioxide),0.714,CO2,CRI
456,192,Cuba,1985,Emissions (thousand metric tons of carbon dioxide),32178.767,CO2,CUB
464,192,Cuba,1985,Emissions per capita (metric tons of carbon dioxide),3.191,CO2,CUB
478,196,Cyprus,1985,Emissions (thousand metric tons of carbon dioxide),2765.082,CO2,CYP
486,196,Cyprus,1985,Emissions per capita (metric tons of carbon dioxide),5.14,CO2,CYP
542,208,Denmark,1985,Emissions (thousand metric tons of carbon dioxide),61031.807,CO2,DNK
550,208,Denmark,1985,Emissions per capita (metric tons of carbon dioxide),11.937,CO2,DNK
558,214,Dominican Republic,1985,Emissions (thousand metric tons of carbon dioxide),6234.306,CO2,DOM
566,214,Dominican Republic,1985,Emissions per capita (metric tons of carbon dioxide),0.961,CO2,DOM
574,218,Ecuador,1985,Emissions (thousand metric tons of carbon dioxide),11665.556,CO2,ECU
582,218,Ecuador,1985,Emissions per capita (metric tons of carbon dioxide),1.29,CO2,ECU
590,818,Egypt,1985,Emissions (thousand metric tons of carbon dioxide),64473.872,CO2,EGY
598,818,Egypt,1985,Emissions per capita (metric tons of carbon dioxide),1.284,CO2,EGY
606,222,El Salvador,1985,Emissions (thousand metric tons of carbon dioxide),1640.679,CO2,SLV
614,222,El Salvador,1985,Emissions per capita (metric tons of carbon dioxide),0.333,CO2,SLV
646,231,Ethiopia,1985,Emissions (thousand metric tons of carbon dioxide),1385.977,CO2,ETH
654,231,Ethiopia,1985,Emissions per capita (metric tons of carbon dioxide),0.034,CO2,ETH
662,246,Finland,1985,Emissions (thousand metric tons of carbon dioxide),48284.914,CO2,FIN
670,246,Finland,1985,Emissions per capita (metric tons of carbon dioxide),9.85,CO2,FIN
678,250,France,1985,Emissions (thousand metric tons of carbon dioxide),351797.985,CO2,FRA
686,250,France,1985,Emissions per capita (metric tons of carbon dioxide),6.209,CO2,FRA
694,266,Gabon,1985,Emissions (thousand metric tons of carbon dioxide),1682.488,CO2,GAB
702,266,Gabon,1985,Emissions per capita (metric tons of carbon dioxide),2.027,CO2,GAB
722,276,Germany,1985,Emissions (thousand metric tons of carbon dioxide),1004256.098,CO2,DEU
730,276,Germany,1985,Emissions per capita (metric tons of carbon dioxide),12.93,CO2,DEU
738,288,Ghana,1985,Emissions (thousand metric tons of carbon dioxide),2067.234,CO2,GHA
746,288,Ghana,1985,Emissions per capita (metric tons of carbon dioxide),0.163,CO2,GHA
754,292,Gibraltar,1985,Emissions (thousand metric tons of carbon dioxide),90.096,CO2,GIB
762,292,Gibraltar,1985,Emissions per capita (metric tons of carbon dioxide),3.218,CO2,GIB
770,300,Greece,1985,Emissions (thousand metric tons of carbon dioxide),54479.901,CO2,GRC
778,300,Greece,1985,Emissions per capita (metric tons of carbon dioxide),5.428,CO2,GRC
786,320,Guatemala,1985,Emissions (thousand metric tons of carbon dioxide),3183.813,CO2,GTM
794,320,Guatemala,1985,Emissions per capita (metric tons of carbon dioxide),0.386,CO2,GTM
802,332,Haiti,1985,Emissions (thousand metric tons of carbon dioxide),796.137,CO2,HTI
810,332,Haiti,1985,Emissions per capita (metric tons of carbon dioxide),0.125,CO2,HTI
818,340,Honduras,1985,Emissions (thousand metric tons of carbon dioxide),1671.582,CO2,HND
826,340,Honduras,1985,Emissions per capita (metric tons of carbon dioxide),0.39,CO2,HND
834,348,Hungary,1985,Emissions (thousand metric tons of carbon dioxide),79755.472,CO2,HUN
842,348,Hungary,1985,Emissions per capita (metric tons of carbon dioxide),7.539,CO2,HUN
850,352,Iceland,1985,Emissions (thousand metric tons of carbon dioxide),1627.919,CO2,ISL
858,352,Iceland,1985,Emissions per capita (metric tons of carbon dioxide),6.755,CO2,ISL
866,356,India,1985,Emissions (thousand metric tons of carbon dioxide),376237.076,CO2,IND
874,356,India,1985,Emissions per capita (metric tons of carbon dioxide),0.481,CO2,IND
882,360,Indonesia,1985,Emissions (thousand metric tons of carbon dioxide),84233.249,CO2,IDN
890,360,Indonesia,1985,Emissions per capita (metric tons of carbon dioxide),0.51,CO2,IDN
914,368,Iraq,1985,Emissions (thousand metric tons of carbon dioxide),37974.35,CO2,IRQ
922,368,Iraq,1985,Emissions per capita (metric tons of carbon dioxide),2.438,CO2,IRQ
930,372,Ireland,1985,Emissions (thousand metric tons of carbon dioxide),26453.225,CO2,IRL
938,372,Ireland,1985,Emissions per capita (metric tons of carbon dioxide),7.471,CO2,IRL
946,376,Israel,1985,Emissions (thousand metric tons of carbon dioxide),24310.593,CO2,ISR
954,376,Israel,1985,Emissions per capita (metric tons of carbon dioxide),5.743,CO2,ISR
962,380,Italy,1985,Emissions (thousand metric tons of carbon dioxide),342046.885,CO2,ITA
970,380,Italy,1985,Emissions per capita (metric tons of carbon dioxide),6.044,CO2,ITA
978,388,Jamaica,1985,Emissions (thousand metric tons of carbon dioxide),4669.488,CO2,JAM
986,388,Jamaica,1985,Emissions per capita (metric tons of carbon dioxide),1.996,CO2,JAM
994,392,Japan,1985,Emissions (thousand metric tons of carbon dioxide),866233.818,CO2,JPN
1002,392,Japan,1985,Emissions per capita (metric tons of carbon dioxide),7.156,CO2,JPN
1010,400,Jordan,1985,Emissions (thousand metric tons of carbon dioxide),7474.582,CO2,JOR
1018,400,Jordan,1985,Emissions per capita (metric tons of carbon dioxide),2.581,CO2,JOR
1038,404,Kenya,1985,Emissions (thousand metric tons of carbon dioxide),4592.785,CO2,KEN
1046,404,Kenya,1985,Emissions per capita (metric tons of carbon dioxide),0.234,CO2,KEN
1064,414,Kuwait,1985,Emissions (thousand metric tons of carbon dioxide),36749.463,CO2,KWT
1072,414,Kuwait,1985,Emissions per capita (metric tons of carbon dioxide),21.133,CO2,KWT
1104,422,Lebanon,1985,Emissions (thousand metric tons of carbon dioxide),6614.05,CO2,LBN
1112,422,Lebanon,1985,Emissions per capita (metric tons of carbon dioxide),2.471,CO2,LBN
